road_id,barangay,split,manual_constraint_type,applied_constraint_type,display_constraint_type,review_constraint_type,predicted_constrained,predicted_probability,predicted_score_reg,prediction_status,nearest_known_constraint_dist_m,map_color,map_weight,map_opacity,routing_multiplier,avoid_priority,is_blocked,display_label,best_model,best_model_threshold
0,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.6487414,0.4262758,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
1,Gredu (Pob.),test,traffic_general,traffic_general,traffic_general,traffic_general,1,0.8522694,0.5111943,true_positive,,#FFD54F,4,0.95,1.35,2,0,General traffic,GAT,0.28000000000000014
2,Manay,train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8584683,0.34724057,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
3,San Pedro,train,normal,normal,normal,normal,0,0.17297679,0.27809224,true_negative,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
4,New Malitbog,val,traffic_general,traffic_general,traffic_general,traffic_general,1,0.7019208,0.4392805,true_positive,,#FFD54F,4,0.95,1.35,2,0,General traffic,GAT,0.28000000000000014
5,Datu Abdul Dadia,test,traffic_general,traffic_general,traffic_general,traffic_general,1,0.8015106,0.43547136,true_positive,,#FFD54F,4,0.95,1.35,2,0,General traffic,GAT,0.28000000000000014
6,New Pandan (Pob.),val,traffic_pnm,traffic_pnm,traffic_pnm,traffic_pnm,1,0.6678238,0.7380384,true_positive,,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
7,Maduao,val,narrow_road,normal,normal,narrow_road,0,0.1181385,0.19525813,missed_manual_constraint,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
8,New Pandan (Pob.),val,traffic_pnm,traffic_pnm,traffic_pnm,traffic_pnm,1,0.42260084,0.40073335,true_positive,,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
9,San Francisco (Pob.),val,traffic_general,traffic_general,traffic_general,traffic_general,1,0.72009814,0.35660475,true_positive,,#FFD54F,4,0.95,1.35,2,0,General traffic,GAT,0.28000000000000014
10,Little Panay,train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.5526633,0.32776505,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
11,Katipunan,train,normal,narrow_road,narrow_road,narrow_road,1,0.49843913,0.3189848,new_predicted_constraint,994.768011799325,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
12,Little Panay,train,normal,narrow_road,narrow_road,narrow_road,1,0.64963156,0.4040935,new_predicted_constraint,230.6147379179155,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
13,Santo Niño (Pob.),test,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.65727246,0.4114409,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
14,New Pandan (Pob.),val,normal,normal,normal,normal,0,0.1542673,0.28633672,true_negative,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
15,Santa Cruz,train,normal,normal,normal,normal,0,0.21237686,0.2227922,true_negative,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
16,Unknown,train,normal,normal,normal,normal,0,0.056169458,0.20203157,true_negative,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
17,J.P. Laurel,train,normal,normal,normal,normal,0,0.06197971,-0.08039144,true_negative,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
18,J.P. Laurel,test,normal,normal,normal,normal,0,0.06753735,-0.12192418,true_negative,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
19,J.P. Laurel,train,normal,normal,normal,normal,0,0.07321579,-0.13826835,true_negative,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
20,Cagangohan,train,normal,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.60150415,0.5224487,new_predicted_constraint,104.06504274657873,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
21,Cagangohan,train,traffic_highway,traffic_highway,traffic_highway,traffic_highway,1,0.63624823,0.48728007,true_positive,,#FFC107,4,0.95,1.25,1,0,Highway traffic,GAT,0.28000000000000014
22,New Pandan (Pob.),val,traffic_pnm,traffic_pnm,traffic_pnm,traffic_pnm,1,0.3934263,0.39638847,true_positive,,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
23,Santo Niño (Pob.),train,traffic_market,traffic_market,traffic_market,traffic_market,1,0.80579656,0.4979909,true_positive,,#FF9800,5,0.95,1.55,3,0,Public market traffic,GAT,0.28000000000000014
24,San Francisco (Pob.),train,traffic_general,traffic_general,traffic_general,traffic_general,1,0.38807243,0.29500163,true_positive,,#FFD54F,4,0.95,1.35,2,0,General traffic,GAT,0.28000000000000014
25,New Pandan (Pob.),train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.5851916,0.52298135,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
26,Gredu (Pob.),val,traffic_general,traffic_general,traffic_general,traffic_general,1,0.84491646,0.38593698,true_positive,,#FFD54F,4,0.95,1.35,2,0,General traffic,GAT,0.28000000000000014
27,J.P. Laurel,train,narrow_road,normal,normal,narrow_road,0,0.22812176,0.15817529,missed_manual_constraint,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
28,New Malaga (Dalisay),train,normal,normal,normal,normal,0,0.26327512,0.47837216,true_negative,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
29,Tagpore,train,narrow_road,normal,normal,narrow_road,0,0.0884853,0.1573319,missed_manual_constraint,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
30,Little Panay,train,normal,normal,normal,normal,0,0.25732645,0.19031075,true_negative,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
31,Katipunan,train,normal,normal,normal,normal,0,0.13264018,0.04123698,true_negative,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
32,Maduao,train,normal,normal,normal,normal,0,0.1251075,0.1741639,true_negative,,#B0BEC5,2,0.35,1.0,0,0,Normal road,GAT,0.28000000000000014
33,Little Panay,train,normal,narrow_road,narrow_road,narrow_road,1,0.48379746,0.29493126,new_predicted_constraint,283.3226257678929,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
34,New Malaga (Dalisay),test,narrow_road,narrow_road,narrow_road,narrow_road,1,0.45394516,0.569351,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
35,Katipunan,train,normal,narrow_road,narrow_road,narrow_road,1,0.33333683,0.24079831,new_predicted_constraint,1785.715280726815,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
36,Gredu (Pob.),train,traffic_general,traffic_general,traffic_general,traffic_general,1,0.7978308,0.577626,true_positive,,#FFD54F,4,0.95,1.35,2,0,General traffic,GAT,0.28000000000000014
37,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.5558393,0.6673163,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
38,Datu Abdul Dadia,val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8125365,0.4818036,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
39,New Visayas,test,narrow_road,narrow_road,narrow_road,narrow_road,1,0.58784187,0.37524784,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
40,Santo Niño (Pob.),train,traffic_pnm,traffic_pnm,traffic_pnm,traffic_pnm,1,0.8451472,0.7355618,true_positive,,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
41,Gredu (Pob.),train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8852799,0.37521172,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
42,Datu Abdul Dadia,val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.85514367,0.45318848,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
43,New Pandan (Pob.),val,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.6647192,0.42864984,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
44,Cagangohan,train,normal,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.74024683,0.7119195,new_predicted_constraint,36.20909496218424,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
45,Datu Abdul Dadia,val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8125365,0.48180354,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
46,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.6584022,0.6222404,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
47,New Visayas,test,narrow_road,narrow_road,narrow_road,narrow_road,1,0.51076984,0.3406211,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
48,Gredu (Pob.),val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8140496,0.38688928,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
49,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.6873843,0.70289505,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
50,Gredu (Pob.),train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8509419,0.3720305,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
51,Gredu (Pob.),val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.81863576,0.39280158,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
52,Datu Abdul Dadia,val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.85154164,0.40159196,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
53,Santo Niño (Pob.),train,traffic_pnm,traffic_pnm,traffic_pnm,traffic_pnm,1,0.79721105,0.63337857,true_positive,,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
54,Gredu (Pob.),train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8498939,0.37110353,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
55,New Pandan (Pob.),val,normal,traffic_pnm,traffic_pnm,traffic_pnm,1,0.3578071,0.53424937,new_predicted_constraint,100.55665097876597,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
56,Gredu (Pob.),train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8388757,0.38857824,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
57,Datu Abdul Dadia,val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.7838247,0.4356078,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
58,New Pandan (Pob.),val,traffic_highway,traffic_highway,traffic_highway,traffic_highway,1,0.49947676,0.06085414,true_positive,,#FFC107,4,0.95,1.25,1,0,Highway traffic,GAT,0.28000000000000014
59,New Pandan (Pob.),train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.47272897,0.2939482,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
60,Gredu (Pob.),val,traffic_school,traffic_school,traffic_school,traffic_school,1,0.72121936,0.24912995,true_positive,,#FFE082,4,0.95,1.45,0,0,School traffic,GAT,0.28000000000000014
61,New Pandan (Pob.),val,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.7120288,0.4522515,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
62,Cagangohan,val,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.67488724,0.5900827,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
