full_id,osm_id,osm_type,highway,name,surface,maxspeed,ref,road_id,is_narrow,is_narrow_slight,is_narrow_severe,narrow_severity,near_school,near_market,near_nightmarket,near_highway,traffic_school,traffic_school_peak,traffic_general,traffic_highway,traffic_market,traffic_pnm,traffic_nightmarket,traffic_morning,traffic_noon,traffic_afternoon,traffic_evening,traffic_night,traffic_severity,school_morning_severity,school_noon_severity,school_afternoon_severity,is_construction,is_hard,is_constrained,confirmed_normal,confirmed_narrow,confirmed_not_narrow,source_confidence,constraint_confidence,est_width_m,width_min_m,width_max_m,width_confidence,narrow_notes,constraint_score,primary_constraint,constraint_type,notes,traffic_start_1,traffic_end_1,traffic_start_2,traffic_end_2,traffic_notes,traffic_note,narrow_source_file,index_right,BRGY_NAME,barangay,dist_to_school,near_school_100m,near_school_200m,near_school_500m,dist_to_mall_market,near_mall_market_100m,near_mall_market_200m,near_mall_market_500m,dist_to_crowded_zone,near_crowded_zone_100m,near_crowded_zone_200m,near_crowded_zone_500m,seg_id,length_m,centroid_x,centroid_y,bearing_sin,bearing_cos,start_degree,end_degree,avg_degree,max_degree,grid_x,grid_y,spatial_block,split,manual_constraint_type,model_probability,model_probability_pct,model_score_reg,model_predicted_constrained,map_high_confidence_prediction,model_threshold,map_high_confidence_threshold,best_result_label,actual_model_used,display_constraint_type,routing_constraint_type,annotation_source,is_manual_verified,is_gat_only_prediction,human_verified_confidence_pct,final_display_confidence_pct,hover_confidence_text,map_color,map_weight,map_opacity
w51774810,51774810,way,tertiary,Weehem Street,concrete,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0.0,normal,normal,,,,,,,,,13.0,Cagangohan,Cagangohan,1716.7589012830176,0,0,0,2087.0106823837245,0,0,0,2056.9922339795758,0,0,0,0,1289.8134082341614,795759.4709987628,805872.0431998513,-0.6840350902569047,0.7294491039800023,4,2,3.0,4,1591,1611,1591_1611,train,normal,0.11341368,11.341368,-0.05903198,0,0,0.45,0.65,GAT_MANUAL_RECALL_THRESHOLD,GAT,normal,normal,normal_unconstrained,0,0,,11.341368,GAT probability: 11.34%,#B0BEC5,2,0.6
w79505198,79505198,way,secondary,Cabaluna Street,concrete,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0.0,normal,normal,,,,,,,,,5.0,Gredu (Pob.),Gredu (Pob.),543.4413950449533,0,0,0,1511.554624266988,0,0,0,1105.6875942199972,0,0,0,1,2615.9277761852527,794727.7002890486,807696.6406978476,-0.07337816314832017,-0.9973041888877127,3,3,3.0,3,1589,1615,1589_1615,train,normal,0.16169444,16.169443,0.12107056,0,0,0.45,0.65,GAT_MANUAL_RECALL_THRESHOLD,GAT,normal,normal,normal_unconstrained,0,0,,16.169443,GAT probability: 16.17%,#B0BEC5,2,0.6
w79505248,79505248,way,unclassified,,unpaved,0.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0.0,normal,normal,,,,,,,,,33.0,Manay,Manay,8708.328249562946,0,0,0,10391.305839980696,0,0,0,9975.009341962555,0,0,0,2,638.2709634452578,787302.8473666266,813628.6280170162,-0.9976562545969101,0.06842512450602709,2,3,2.5,3,1574,1627,1574_1627,test,normal,0.43517908,43.51791,-0.036377054,0,0,0.45,0.65,GAT_MANUAL_RECALL_THRESHOLD,GAT,normal,normal,normal_unconstrained,0,0,,43.51791,GAT probability: 43.52%,#B0BEC5,2,0.6
w104373609,104373609,way,unclassified,,,0.0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0.0,normal,normal,,,,,,,,,11.0,San Pedro,San Pedro,3531.14852594382,0,0,0,3471.076185648746,0,0,0,3622.0109496674863,0,0,0,3,179.61466967499706,799846.6461327546,807226.2052800317,0.9712757949636803,-0.2379565719152778,1,2,1.5,2,1599,1614,1599_1614,train,normal,0.04483216,4.483216,0.00012725941,0,0,0.45,0.65,GAT_MANUAL_RECALL_THRESHOLD,GAT,normal,normal,normal_unconstrained,0,0,,4.483216,GAT probability: 4.48%,#B0BEC5,2,0.6
w104373621,104373621,way,primary,Tagum-Panabo Circumferential Road,asphalt,0.0,909,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0.0,normal,normal,,,,,,,,,41.0,New Malitbog,New Malitbog,7282.18023650623,0,0,0,8964.473836688923,0,0,0,8554.764110651513,0,0,0,4,3287.0381881880585,788575.8728127584,812980.28281243,0.9888290139639654,-0.14905428924741482,2,1,1.5,2,1577,1625,1577_1625,test,normal,0.6212705,62.12705,0.25005928,1,0,0.45,0.65,GAT_MANUAL_RECALL_THRESHOLD,GAT,predicted_constraint_review,normal,gat_review_candidate,0,1,,62.12705,GAT probability: 62.13%,#64B5F6,3,0.85
w104373669,104373669,way,tertiary,Quirino Street,concrete,0.0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0.0,normal,normal,,,,,,,,,40.0,Datu Abdul Dadia,Datu Abdul Dadia,1297.5904656049522,0,0,0,2886.852292368397,0,0,0,2368.2071670523483,0,0,0,5,2404.718271959001,793542.229515548,809224.463716943,0.5086148435114215,-0.8609941584934547,4,3,3.5,4,1587,1618,1587_1618,train,normal,0.12892163,12.892162,0.080671735,0,0,0.45,0.65,GAT_MANUAL_RECALL_THRESHOLD,GAT,normal,normal,normal_unconstrained,0,0,,12.892162,GAT probability: 12.89%,#B0BEC5,2,0.6
w104373709,104373709,way,residential,Mahogany Street,,0.0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0.0,normal,normal,,,,,,,,,10.0,New Pandan (Pob.),New Pandan (Pob.),558.0679978400657,0,0,0,154.55509471218974,0,1,1,119.20432758337793,0,1,1,6,165.597456794746,796397.8412342983,807884.7249435723,0.3735029969707715,-0.9276289728408939,1,1,1.0,1,1592,1615,1592_1615,train,normal,0.6766055,67.66055,0.38714027,1,1,0.45,0.65,GAT_MANUAL_RECALL_THRESHOLD,GAT,predicted_constraint_high_confidence,normal,gat_high_confidence_review,0,1,,67.66055,GAT probability: 67.66%,#1E88E5,4,0.95
w105896714,105896714,way,secondary,Little Panay-Maduao Road,concrete,80.0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0.0,normal,normal,,,,,,,,,0.0,Maduao,Maduao,3517.4120487321297,0,0,0,4571.378003585134,0,0,0,4303.43097140347,0,0,0,7,512.4083448414102,792237.0453282481,805671.1982744862,0.4683837149823379,0.8835251527485474,3,3,3.0,3,1584,1611,1584_1611,train,normal,0.03736239,3.736239,-0.080298,0,0,0.45,0.65,GAT_MANUAL_RECALL_THRESHOLD,GAT,normal,normal,normal_unconstrained,0,0,,3.736239,GAT probability: 3.74%,#B0BEC5,2,0.6
w105903456,105903456,way,tertiary,Roxas Street,concrete,40.0,,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,3,3,,,,0,,0.8,traffic_pnm,traffic_pnm,,16:00,20:00,,,PNM / night-market nearby traffic; usually affected from 4:00 PM to 8:00 PM.,PNM / night-market nearby traffic; usually affected from 4:00 PM to 8:00 PM.,,10.0,New Pandan (Pob.),New Pandan (Pob.),637.0441563700026,0,0,0,323.71824977332676,0,0,1,296.3152586384053,0,0,1,8,203.614868694195,796019.9398809935,807655.7526557769,-0.38563227622360313,0.9226525605744573,2,3,2.5,3,1592,1615,1592_1615,train,traffic_pnm,0.1285085,12.850849,0.11490276,0,0,0.45,0.65,GAT_MANUAL_RECALL_THRESHOLD,GAT,traffic_pnm,traffic_pnm,manual_verified,1,0,100.0,100.0,Manual verified: 100%; GAT probability: 12.85%,#43A047,4,0.95
w106393064,106393064,way,tertiary,Bangoy Street,concrete,0.0,,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2,2,,,,0,,0.7,traffic_general,traffic_general,,16:00,19:30,,,General traffic-prone road; usually affected from 4:00 PM to 7:30 PM.,General traffic-prone road; usually affected from 4:00 PM to 7:30 PM.,,25.0,San Francisco (Pob.),San Francisco (Pob.),517.9174145815334,0,0,0,1504.2898745703678,0,0,0,641.2864856801548,0,0,0,9,1513.0891338906492,796263.4546938288,809990.7676039229,-0.8695102445613381,0.4939149062367748,4,4,4.0,4,1592,1619,1592_1619,test,traffic_general,0.19993459,19.993458,0.08707021,0,0,0.45,0.65,GAT_MANUAL_RECALL_THRESHOLD,GAT,traffic_general,traffic_general,manual_verified,1,0,100.0,100.0,Manual verified: 100%; GAT probability: 19.99%,#E53935,3,0.9
